record_id,pmid,doi,title,year,publication_types,screening_priority,triage_hints,abstract,title_abstract_decision,title_abstract_reason,full_text_status,full_text_decision,full_text_exclusion_reason,study_id,study_design,key_outcomes,notes
1,42567908,10.1038/s41430-026-01789-0,Vitamin D supplementation and bone health in post-menopausal women: a 24-month randomized controlled intervention with enhanced bioavailability formulations.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
2,42161415,10.1136/bmj-2025-088050,"Calcium, vitamin D, or combined supplementation to prevent fractures and falls: systematic review and meta-analysis.",2026,,,,,exclude,本记录是指定的历史证据基座本身，不作为截止日期后的独立更新证据重复计入,,,,,,,
3,41872365,10.1007/s00198-026-07924-8,Management of bone health in cancer survivorship: a systematic review of clinical guidelines.,2026,,,,,exclude,叙述性综述或指南解读，不作为更新期直接功效证据,,,,,,,
4,41788019,10.1017/S0954422426100365,Nutrients and food supplements for the prevention of musculoskeletal diseases: an umbrella review.,2026,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
5,41314906,10.1016/j.pathol.2025.08.009,Vitamin D insufficiency and deficiency: in search of a bone disease.,2025,,,,,exclude,干预、目标人群、比较或关键结局与预定义PICOS不匹配,,,,,,,
6,41221311,10.1590/1413-785220253306e284103,EFFECTS OF CALCIUM SUPPLEMENTATION ON THE RISK OF FRACTURE IN OLDER ADULTS.,2025,,,,,exclude,虽在更新期发表，但检索截止到2023年5月，证据已被2026年基座综述覆盖,,,,,,,
7,41063100,10.1186/s12891-025-09089-7,The effects of combined calcium and vitamin D supplementation on bone mineral density and fracture risk in postmenopausal women with osteoporosis: a systematic review and meta-analysis of randomized controlled trials.,2025,,,,,exclude,人群为接受骨质疏松治疗的绝经后女性，不回答一般老年人是否常规补钙,,,,,,,
8,41346785,10.1016/j.lanwpc.2025.101694,Calcium supplementation and the risk of dementia in the Perth Longitudinal Study of Aging Women: a post-hoc analysis of a randomised clinical trial for fracture prevention.,2025,,,,,exclude,研究方案或基线报告，尚无可用于功效判断的结局数据,,,,,,,
9,40832852,10.1002/14651858.CD016064,Interventions for preventing falls in older people in care facilities.,2025,,,,,exclude,研究方案或基线报告，尚无可用于功效判断的结局数据,,,,,,,
10,40352235,10.52225/narra.v5i1.1075,Exploring the potential of calcium-fortified sweet potato noodles for osteoporosis prevention: Insights from in vivo rat studies.,2025,,,,,exclude,非人体临床研究,,,,,,,
11,40087804,10.1186/s40001-025-02412-x,Vitamin D and calcium supplementation in women undergoing pharmacological management for postmenopausal osteoporosis: a level I of evidence systematic review.,2025,,,,,exclude,人群为正在接受抗骨吸收药物的绝经后骨质疏松患者，PICOS不匹配,,,,,,,
