record_id,pmid,doi,title,year,title_abstract_decision,title_abstract_reason,full_text_status,full_text_decision,full_text_exclusion_reason,study_id,study_design,key_outcomes,notes
1,42650255,10.3390/antiox15080991,"A New Cosmeceutical Approach for Mature Skin: Antioxidant Activity, In Vitro Permeation, and Preliminary Clinical Efficacy of Melatonin-N-Acetylcysteine Creams.",2026,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
2,42031133,10.1016/j.plantsci.2026.113161,Overexpression of LpNAC14 from Lilium pumilum enhances salt and drought tolerance in transgenic Nicotiana tabacum.,2026,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
3,41967979,10.1111/cod.70141,Allergen Content of Inactive Ingredients in Best-Selling Sunscreens: A Comparison of Key Product Features.,2026,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
4,42464118,10.1186/s12870-026-09484-9,Cysteine derivatives coordinate photosynthetic performance and osmotic adjustment to enhance drought tolerance in vegetable soybean.,2026,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
5,42176462,10.1016/j.bjps.2026.05.010,Repigmentation of the nipple-areola complex following gender-affirming mastectomy with free nipple grafting.,2026,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
6,42324978,10.4014/jmb.2604.04013,Bioactive Lipid Mediator Resolvin D5 Suppresses Melanogenesis in α-MSH-Stimulated B16F10 Cells via ROS-Associated p38/β-Catenin/MITF Regulation.,2026,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
7,42299342,10.3389/fgene.2026.1797093,Integrated metabolomic and transcriptomic analysis of anthocyanin accumulation mechanisms in maize kernels of different colors.,2026,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
8,41554955,10.1038/s41386-026-02351-z,Modulation of accumbens dopamine by MCH neurons during learning and consummatory behavior.,2026,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
9,42179493,10.3389/fpls.2026.1800907,The role of the MfSWN1 in secondary wall growth and development.,2026,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
10,42075956,10.3390/molecules31081277,Therapeutic Potential of Cysteine and Its Derivatives in Dermatology.,2026,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
